Investigator name: Bridger Huhn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact information: bhuhn@uwyo.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site name in full: GreenHouseWilliamsConservatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegetation type: Green House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soil type: Sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Major species: Penstemon haydenii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample leaf light environment: High Light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water stress assessment:None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument used: Licor-6400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra info: GreenHouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent,,,,,,,,,,,,,
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%,,,,,,,,,,,,,
MOFLUX,,,7177,2022,,,,,,,PenstemonHaydenii,,,,,-9999,-9999,-9999,,,,,,,,,,,,,
Gamma*,Kc,Ko,Alpha,Rd,gi,,,,,,,,,,,,,,,,,,,,,,,,,,
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa,,,,,,,,,,,,,,,,,,,,,,,,,,
-9999,-9999,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress,
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA,
2,11:10:30,1211.499989,-4.919789625,-4.919789625,0.1025691,456.2063092,3.268775827,2.454960844,0.79400003,1,12.55831769,26.52692032,25.84611511,26.47861671,399.9780273,400.9303284,10.46463394,11.31734276,23.60765839,25.5309906,300.9274597,1.32425344,306.4558411,78.52496338,NA,NA,0.75,111115,#DIV/0!,-9999,13_ACi
3,11:20:41,1815.499947,-3.618020018,-3.618020018,0.137012177,89.53656769,4.694965151,2.643963772,0.79400003,1,12.55831769,27.04860878,26.79021263,26.98595238,49.88188553,50.7736969,10.12410164,11.34893799,22.1535244,24.83228683,300.8970032,699.892395,311.9415894,78.53883362,NA,NA,0.75,111115,0.453022164,-9999,13_ACi
4,11:25:51,2125.999926,1.34921662,1.34921662,0.176515053,82.0441542,6.158720615,2.698795093,0.79400003,1,12.55831769,27.42134285,27.15500259,27.34292603,100.0687332,99.55093384,10.01935673,11.62556934,21.45085335,24.88790512,300.9050598,698.6222534,317.8298035,78.5404892,NA,NA,0.75,111115,0.480893952,-9999,13_ACi
