Investigator name: Bridger Huhn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact information: bhuhn@uwyo.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site name in full: GreenHouseWilliamsConservatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegetation type: Green House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soil type: Sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Major species: Penstemon haydenii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample leaf light environment: High Light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water stress assessment:None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument used: Licor-6400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra info: GreenHouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent,,,,,,,,,,,,,
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%,,,,,,,,,,,,,
MOFLUX,,,7177,2022,,,,,,,PenstemonHaydenii,,,,,-9999,-9999,-9999,,,,,,,,,,,,,
Gamma*,Kc,Ko,Alpha,Rd,gi,,,,,,,,,,,,,,,,,,,,,,,,,,
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa,,,,,,,,,,,,,,,,,,,,,,,,,,
-9999,-9999,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress,
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA,
1,10:54:19,1040.500488,-5.454408388,-5.454408388,0.321820715,411.9501382,7.808471187,1.909573931,0.975000024,1,12.06775695,27.95348549,22.75322342,28.71814728,399.5829773,400.3403625,8.552065849,11.06395531,17.73444557,22.94335938,299.7355957,0.94226563,181.9416962,78.48056793,NA,NA,0.75,111115,#DIV/0!,-9999,18_ACi
2,11:02:18,1519.000488,-3.244547685,-3.244547685,0.316962771,64.86734464,8.397920012,2.081083775,0.975000024,1,12.06775695,25.75381088,23.96476746,25.39570808,49.7068367,50.62381744,8.86383152,11.56357193,20.91982651,27.29157448,299.780304,702.0705566,441.9161072,78.48422241,NA,NA,0.25,111115,0.430290512,-9999,18_ACi
3,11:04:50,1671.000488,0.832675471,0.832675471,0.323691949,90.90403319,8.413804406,2.043362385,0.975000024,1,12.06775695,25.67354584,23.72594452,25.59708786,99.69970703,99.15747833,8.796129227,11.50148201,20.85853004,27.27381516,299.7430725,701.8363037,963.7612305,78.48212433,NA,NA,0.5,111115,0.456947447,-9999,18_ACi
